P/bar	iceIc	iceIh	iceII	iceIX	iceVI	iceXIII	iceXV	liquid	iceV-part	iceIII-part
0	-15.620852149324492	-14.959888055396732	0.	NaN	10.314150700287428	NaN	19.14407586894231	-7.796667926944792	3.302394800935872	-1.2799572310759686
1000	-10.81957087583465	-10.147979672652566	0.	NaN	8.82406298597594	NaN	17.12505298948056	-4.61626668115913	2.2517779200592445	-0.253608513160013
2000	-6.018289602344806	-5.3360712899084	0.	NaN	7.333975271664452	NaN	15.10603011001881	-1.4358654353734686	1.2011610391826166	0.7727402047559426
3000	-1.2170083288549627	-0.5241629071642322	0.	NaN	5.843887557352964	NaN	13.087007230557063	1.7445358104121933	0.15054415830598922	1.7990889226718987
4000	3.584272944634879	4.287745475579932	0.	NaN	4.353799843041477	NaN	11.067984351095314	4.924937056197855	-0.9000727225706386	2.825437640587854
5000	8.385554218124724	9.0996538583241	0.	NaN	2.863712128729989	NaN	9.048961471633566	8.105338301983517	-1.950689603447266	3.8517863585038095
6000	13.186835491614566	13.911562241068268	0.	NaN	1.3736244144185008	NaN	7.029938592171817	11.285739547769179	-3.0013064843238935	4.878135076419766
7000	17.988116765104408	18.72347062381243	0.	NaN	-0.11646329989298643	NaN	5.010915712710068	14.466140793554843	-4.051923365200521	5.904483794335722
8000	22.78939803859425	23.535379006556596	0.	NaN	-1.6065510142044737	NaN	2.9918928332483183	17.646542039340503	-5.102540246077149	6.930832512251676
9000	27.59067931208409	28.347287389300767	0.	NaN	-3.0966387285159627	NaN	0.9728699537865708	20.826943285126166	-6.153157126953776	7.957181230167633
10000	32.39196058557394	33.15919577204493	0.	NaN	-4.58672644282745	NaN	-1.0461529256751767	24.007344530911826	-7.203774007830404	8.983529948083588
