P/bar	iceIc	iceIh	iceII	iceIX	iceVI	iceXIII	iceXV	liquid	iceV-part	iceIII-part
0	-10.664856507675722	-10.116920408734586	0.	NaN	12.830066637368873	8.65419947670307	13.86879879864864	NaN	7.501464979606681	NaN
1000	-6.0833477062073555	-5.555669776427253	0.	NaN	11.160153186356435	7.549862486811227	12.496545576308328	NaN	6.592555458575364	NaN
2000	-1.5018389047389888	-0.9944191441199202	0.	NaN	9.490239735343998	6.445525496919384	11.124292353968018	NaN	5.683645937544048	NaN
3000	3.0796698967293796	3.566831488187411	0.	NaN	7.82032628433156	5.341188507027541	9.752039131627706	NaN	4.774736416512731	NaN
4000	7.6611786981977446	8.128082120494746	0.	NaN	6.1504128333191215	4.236851517135698	8.379785909287396	NaN	3.8658268954814146	NaN
5000	12.242687499666115	12.689332752802077	0.	NaN	4.480499382306684	3.1325145272438553	7.0075326869470835	NaN	2.9569173744500983	NaN
6000	16.82419630113448	17.250583385109408	0.	NaN	2.8105859312942467	2.028177537352012	5.635279464606771	NaN	2.048007853418782	NaN
7000	21.405705102602845	21.811834017416743	0.	NaN	1.1406724802818076	0.923840547460169	4.263026242266461	NaN	1.1390983323874657	NaN
8000	25.98721390407121	26.373084649724078	0.	NaN	-0.5292409707306298	-0.1804964424316733	2.890773019926149	NaN	0.23018881135614855	NaN
9000	30.568722705539585	30.934335282031405	0.	NaN	-2.199154421743067	-1.2848334323235164	1.5185197975858369	NaN	-0.6787207096751668	NaN
10000	35.15023150700795	35.49558591433874	0.	NaN	-3.8690678727555046	-2.3891704222153596	0.14626657524552655	NaN	-1.587630230706484	NaN
