P/bar	iceIc	iceIh	iceII	iceIX	iceVI	iceXIII	iceXV	liquid	iceV-part	iceIII-part
0	-12.49639543989906	-11.89524402807001	0.	NaN	11.496902553946711	NaN	NaN	NaN	NaN	NaN
1000	-7.634596959745977	-7.020543034479488	0.	NaN	9.158945573668461	NaN	NaN	NaN	NaN	NaN
2000	-3.6539267961052246	-3.0593284136848524	0.	NaN	7.822229006211273	NaN	NaN	NaN	NaN	NaN
3000	1.4021727667422965	1.9730709455325268	0.	NaN	7.834725744614843	NaN	NaN	NaN	2.416017724084668	NaN
4000	NaN	NaN	0.	NaN	4.26094984106021	NaN	NaN	NaN	1.1672577227000147	NaN
5000	NaN	NaN	0.	NaN	3.881906189257279	3.2611581437522545	NaN	NaN	0.5347279772395268	NaN
6000	NaN	NaN	0.	NaN	3.2182208201265894	3.2954567859414965	5.177885961194988	NaN	-0.6113609248423018	NaN
7000	NaN	NaN	0.	NaN	-0.48543885711114854	3.2476858207955956	5.385816787893418	NaN	-1.482357225031592	NaN
8000	NaN	NaN	0.	NaN	0.18653978657675907	-0.3965510165435262	4.311922865512315	NaN	-1.6987300901091658	NaN
9000	NaN	NaN	0.	NaN	-2.6835647406987846	-1.9957910134689882	1.0736326650949195	NaN	-4.095398595149163	NaN
10000	NaN	NaN	0.	NaN	NaN	-0.441876798751764	-0.7380563635379076	NaN	NaN	NaN
