P/bar	iceIc	iceIh	iceII	iceIX	iceVI	iceXIII	iceXV	liquid	iceV-part	iceIII-part
0	-9.448907056765165	-8.908058202185202	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1000	-5.979367865656968	-5.448419738095254	0.	NaN	10.974667701637372	NaN	NaN	NaN	5.021134072972927	NaN
2000	-1.8023510674247518	-1.289078880683519	0.	NaN	8.738546241656877	NaN	NaN	NaN	6.750989980297163	NaN
3000	2.739159085089341	3.233154206944164	0.	NaN	7.733837152598426	4.38615256245248	NaN	NaN	4.7631603424670175	NaN
4000	7.627133663045242	8.085168174700812	0.	NaN	6.446960120869335	4.034930011024699	7.664880632015411	NaN	4.147109783894848	NaN
5000	NaN	NaN	0.	NaN	4.6130555179552175	2.83877958584344	6.992726400087122	NaN	2.521990511449985	NaN
6000	NaN	NaN	0.	NaN	1.9757720428751782	1.2613840221310966	5.584890813566744	NaN	0.8827875246061012	NaN
7000	NaN	NaN	0.	NaN	-0.6274045684258454	1.9955057298648171	3.015858119877521	NaN	1.1114310433040373	NaN
8000	NaN	NaN	0.	NaN	0.6699382230290212	-1.4861453585908748	3.301668105938006	NaN	-0.12505462777335197	NaN
9000	NaN	NaN	0.	NaN	-1.5918913821224123	-1.007242780586239	0.7628999807056971	NaN	-0.5364831171464175	NaN
10000	NaN	NaN	0.	NaN	-3.6264686916256323	-1.3559814973850735	1.8505680555826984	NaN	-0.6608535837731324	NaN
