P/bar	iceIc	iceIh	iceII	iceIX	iceVI	iceXIII	iceXV	liquid	iceV-part	iceIII-part
0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1000	-10.317250682564918	-9.632576737494674	0.	NaN	NaN	NaN	NaN	-9.93332729768008	NaN	-0.39373770606471226
2000	-5.077409926510882	-4.365701227798127	0.	NaN	NaN	NaN	NaN	-7.939108679653145	NaN	0.8001647146884352
3000	NaN	NaN	0.	NaN	NaN	NaN	NaN	-5.472085742338095	-1.2904519860749133	-1.3263966998783872
4000	NaN	NaN	0.	NaN	NaN	NaN	NaN	-2.515034425596241	-1.89429777051555	1.335079442942515
5000	NaN	NaN	0.	NaN	3.279189245251473	3.6338123115128838	7.957189563428983	NaN	-2.9560528200818226	0.09033522149547935
6000	NaN	NaN	0.	NaN	2.690114332246594	2.7383258378249593	6.278246411180589	NaN	-3.205128855421208	NaN
7000	NaN	NaN	0.	NaN	-0.09872266760794446	0.6727262326166965	4.320887700538151	NaN	-4.289707261370495	NaN
8000	NaN	NaN	0.	NaN	-2.521728327148594	-0.11478972644545138	1.897179145773407	NaN	-6.705813854350708	NaN
9000	NaN	NaN	0.	NaN	-3.814200656604953	-0.12059553759172559	1.9627689552726224	NaN	-7.2644264249829575	NaN
10000	NaN	NaN	0.	NaN	NaN	-1.1849770792177878	0.04729616746772081	NaN	NaN	NaN
