P/bar	iceIc	iceIh	iceII	iceIX	iceVI	iceXIII	iceXV	liquid	iceV-part	iceIII-part
0	-17.00816657638643	-16.362538580899127	0.	NaN	11.057011795055587	10.612923532607965	18.018301844713278	-15.185195466503501	3.9034602848696522	-2.1322133137728088
1000	-11.483681801636585	-10.803812334858478	0.	NaN	9.478040568104348	9.33036832187287	16.122564323580953	-11.760388543311164	2.670120253261239	-1.3342384881116098
2000	-5.959197026886741	-5.245086088817828	0.	NaN	7.899069341153108	8.047813111137774	14.226826802448626	-8.335581620118827	1.4367802216528256	-0.5362636624504107
3000	-0.43471225213689735	0.3136401572228209	0.	NaN	6.320098114201869	6.765257900402679	12.331089281316299	-4.910774696926488	0.20344019004441272	0.26171116321078847
4000	5.089772522612947	5.87236640326347	0.	NaN	4.74112688725063	5.482702689667583	10.435351760183973	-1.485967773734151	-1.029899841564001	1.0596859888719874
5000	10.61425729736279	11.431092649304123	0.	NaN	3.1621556602993905	4.200147478932488	8.539614239051646	1.938839149458186	-2.263239873172414	1.8576608145331863
6000	16.138742072112635	16.98981889534477	0.	NaN	1.5831844333481513	2.9175922681973923	6.643876717919321	5.363646072650525	-3.496579904780827	2.6556356401943857
7000	21.66322684686248	22.548545141385418	0.	NaN	0.004213206396912028	1.6350370574622968	4.748139196786994	8.78845299584286	-4.729919936389241	3.4536104658555846
8000	27.187711621612323	28.107271387426067	0.	NaN	-1.5747580205543272	0.3524818467272013	2.8524016756546686	12.213259919035199	-5.963259967997654	4.2515852915167835
9000	32.71219639636217	33.665997633466716	0.	NaN	-3.1537292475055665	-0.9300733640078942	0.9566641545223398	15.638066842227538	-7.196599999606066	5.0495601171779825
10000	38.23668117111201	39.22472387950737	0.	NaN	-4.732700474456806	-2.2126285747429897	-0.9390733666099855	19.062873765419873	-8.42994003121448	5.847534942839181
