P/bar	iceIc	iceIh	iceII	iceIX	iceVI	iceXIII	iceXV	liquid	iceV-part	iceIII-part
0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4000	1.6495911980746314	2.2502558089909144	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5000	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6000	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7000	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8000	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9000	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10000	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN
