P/bar	iceIc	iceIh	iceII	iceIX	iceVI	iceXIII	iceXV	liquid	iceV-part	iceIII-part
0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1000	-9.360660584003199	-8.692456846940331	0.	NaN	9.978489211760461	NaN	NaN	NaN	NaN	NaN
2000	-4.1336880106828175	-3.4547520733904094	0.	NaN	7.768668198783416	NaN	NaN	NaN	1.691812502744142	NaN
3000	-0.008254597894847393	0.671665086527355	0.	NaN	NaN	NaN	NaN	NaN	0.4591018438222818	3.5916033916873857
4000	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	0.7453918309765868	5.589234401006252
5000	NaN	NaN	0.	NaN	3.888352778798435	4.348431086167693	7.25183912779903	NaN	-0.2813147650449537	6.2878905851976015
6000	NaN	NaN	0.	NaN	2.3243241405580193	-1.3040448141400702	7.286981059180107	NaN	-2.2155394725850783	NaN
7000	NaN	NaN	0.	NaN	0.07454980228794739	-0.3493127438123338	4.24234344123397	NaN	-3.8698362306458876	NaN
8000	NaN	NaN	0.	NaN	-2.986831307178363	-0.2630255310796201	2.3868100832914934	NaN	-4.716958760283887	NaN
9000	NaN	NaN	0.	NaN	-2.5490532828262076	-0.2662746732821688	2.0566426597652026	NaN	-5.361774867866188	NaN
10000	NaN	NaN	0.	NaN	NaN	-2.3327886589686386	0.7887431549606845	NaN	NaN	NaN
