# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
175 2000 -2.69569 0.207863
175 3000 -4.14106 0.262545
175 4000 -3.25782 0.22954
175 5000 -4.83338 0.262489
175 6000 -3.12675 0.223296
175 7000 -2.66022 0.20687
175 8000 -3.87215 0.25462
175 9000 -3.71849 0.260432
200 3000 -3.89677 0.299997
200 4000 -3.79479 0.267302
200 5000 -3.03992 0.291756
200 6000 -3.65957 0.288644
200 7000 -3.63861 0.289029
200 8000 -2.2028 0.231685
200 9000 -3.06849 0.219548
225 2000 -2.87116 0.313384
225 3000 -2.17983 0.236518
225 4000 -3.84422 0.190804
225 5000 -3.50008 0.313339
225 6000 -2.1883 0.201893
225 7000 -6.04837 0.337561
225 8000 -3.62522 0.335152
225 9000 -2.70955 0.332711
250 2000 -4.39807 0.37098
250 3000 -1.93875 0.260865
250 4000 -3.87337 0.338218
250 5000 -3.54127 0.242852
250 6000 -2.34087 0.29644
250 7000 -2.16751 0.272829
250 8000 -2.99261 0.356153
250 9000 -5.51763 0.374742
275 3000 -4.7523 0.40535
275 4000 -3.41637 0.351381
275 5000 -2.68953 0.322933
275 6000 -4.01124 0.406178
275 7000 -3.77552 0.360512
275 8000 -3.17899 0.386057
275 9000 -1.81382 0.219857
300 4000 -4.37751 0.446333
300 5000 -3.05498 0.321328
300 6000 -3.15814 0.409488
300 7000 -3.4662 0.38788
300 8000 -2.42589 0.348941
300 9000 -3.30312 0.438008
