# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
200 0 -1.76136 0.164186
200 1000 -2.33423 0.242901
200 2000 -2.22115 0.25211
200 3000 -2.8116 0.258049
225 0 -2.73372 0.292833
225 1000 -2.18338 0.265407
225 2000 -1.84336 0.167735
225 3000 -2.80467 0.263516
250 0 -1.73944 0.171266
250 1000 -2.64953 0.314833
250 2000 -2.44966 0.242786
250 3000 -2.12453 0.183398
275 0 -2.72367 0.210077
275 1000 -2.8141 0.349319
275 2000 -2.93232 0.342769

