# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
225 2000 -2.44121 0.123309
225 3000 -2.49767 0.188704
225 4000 -1.68218 0.174878
225 5000 -2.9627 0.188399
250 2000 -3.30109 0.154232
250 3000 -3.58992 0.217901
250 4000 -2.52863 0.156844
250 5000 -4.80473 0.218757
275 1000 -3.97076 0.240636
275 2000 -3.59255 0.220009
275 3000 -4.94695 0.240675
275 4000 -2.31356 0.161091
275 5000 -4.32939 0.188054

