# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
175 2000 -1.77548 0.254721
175 3000 -2.44912 0.178996
175 4000 -3.78233 0.18188
175 5000 -3.02356 0.167216
175 6000 -3.30021 0.25954
175 7000 -2.7403 0.230131
175 8000 -5.05842 0.25693
175 9000 -5.05518 0.180327
200 3000 -3.39065 0.268373
200 4000 -3.41136 0.26845
200 5000 -3.44322 0.259013
200 6000 -2.70599 0.291707
200 7000 -2.62892 0.290849
200 8000 -1.82028 0.195143
200 9000 -2.45735 0.276692
225 2000 -3.40874 0.216437
225 3000 -4.5264 0.321074
225 4000 -3.11175 0.187929
225 5000 -5.0727 0.306487
225 6000 -4.37517 0.33068
225 7000 -3.02821 0.316156
225 8000 -3.79504 0.321273
225 9000 -2.38182 0.273747
250 2000 -2.20567 0.199049
250 3000 -4.00738 0.361521
250 4000 -4.50175 0.372723
250 5000 -3.94035 0.309307
250 6000 -2.67246 0.327032
250 7000 -4.08461 0.366761
250 8000 -5.28862 0.348748
250 9000 -4.42618 0.259043
275 3000 -2.51659 0.281237
275 4000 -1.84482 0.316775
275 5000 -2.27845 0.181974
275 6000 -3.06054 0.262686
275 7000 -2.2097 0.268823
275 8000 -3.8525 0.251109
275 9000 -4.98923 0.330729
300 4000 -3.93395 0.298776
300 5000 -4.7515 0.449422
300 6000 -4.9237 0.325095
300 7000 -4.42898 0.44969
300 8000 -2.92331 0.350485
300 9000 -2.61325 0.184198
