# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
175 2000 -2.87926 0.258035
175 3000 -5.47303 0.262546
175 4000 -3.30472 0.261969
175 5000 -4.79306 0.233187
175 6000 -3.03145 0.247819
175 7000 -2.60381 0.236637
175 8000 -3.35419 0.202176
175 9000 -2.22295 0.200867
200 3000 -3.27523 0.2476
200 4000 -2.48656 0.124456
200 5000 -3.44477 0.273283
200 6000 -4.31116 0.29948
200 7000 -2.62862 0.21633
200 8000 -2.36402 0.167002
200 9000 -4.2358 0.299395
225 2000 -3.65666 0.290963
225 3000 -1.55601 0.131842
225 4000 -3.53746 0.333527
225 5000 -6.62501 0.337564
225 6000 -4.40164 0.189041
225 7000 -3.34763 0.245811
225 8000 -4.23163 0.309677
225 9000 -9.03965 0.33757
250 2000 -2.87624 0.313982
250 3000 -2.29891 0.303273
250 4000 -3.83477 0.340294
250 5000 -3.90558 0.373096
250 6000 -3.56152 0.374461
250 7000 -5.19873 0.374125
250 8000 -6.09948 0.37506
250 9000 -8.92791 0.375078
275 3000 -2.90396 0.384734
275 4000 -3.13827 0.365303
275 5000 -2.5363 0.37149
275 6000 -2.49805 0.237713
275 7000 -3.55638 0.331567
275 8000 -3.95591 0.275053
275 9000 -5.23104 0.389313
300 4000 -6.39273 0.450084
300 5000 -3.23173 0.323267
300 6000 -2.60663 0.306124
300 7000 -3.31284 0.315474
300 8000 -3.85865 0.417133
300 9000 -2.77324 0.389752
