# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
225 2000 -1.84811 0.180104
225 3000 -1.94699 0.120559
225 4000 -2.88016 0.193727
225 5000 -1.83896 0.11658
250 2000 -3.75191 0.168659
250 3000 -1.6471 0.196496
250 4000 -2.00344 0.205368
250 5000 -1.59158 0.145232
275 1000 -3.00032 0.170223
275 2000 -3.78332 0.149259
275 3000 -3.34717 0.240218
275 4000 -3.68634 0.240654
275 5000 -1.04697 0.115642

