# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
175 2000 -3.84669 0.26237
175 3000 -2.27159 0.217661
175 4000 -4.64499 0.262505
175 5000 -2.16972 0.257271
175 6000 -3.58451 0.252241
175 7000 -1.74496 0.220201
175 8000 -2.25668 0.216153
175 9000 -2.42598 0.246736
200 3000 -3.0526 0.281819
200 4000 -3.80156 0.210785
200 5000 -5.59914 0.300059
200 6000 -2.30509 0.203906
200 7000 -3.0296 0.274171
200 8000 -2.85687 0.240244
200 9000 -4.25182 0.295883
225 2000 -4.93916 0.337398
225 3000 -5.69467 0.336003
225 4000 -3.06874 0.314562
225 5000 -4.65143 0.331981
225 6000 -2.30698 0.229501
225 7000 -2.66705 0.208527
225 8000 -3.35357 0.335447
225 9000 -2.93013 0.273147
250 2000 -3.09438 0.2718
250 3000 -1.99433 0.221716
250 4000 -3.67612 0.348667
250 5000 -2.86192 0.269876
250 6000 -3.59839 0.367756
250 7000 -1.53931 0.250505
250 8000 -2.36099 0.302426
250 9000 -4.81759 0.371753
275 3000 -1.90844 0.334997
275 4000 -2.84993 0.250172
275 5000 -3.17772 0.302743
275 6000 -3.74356 0.406258
275 7000 -4.61841 0.411506
275 8000 -4.36728 0.285723
275 9000 -3.26912 0.379219
300 4000 -2.96146 0.339213
300 5000 -3.13638 0.297013
300 6000 -5.536 0.313102
300 7000 -5.03456 0.448951
300 8000 -2.86989 0.368066
300 9000 -4.4303 0.445732
