# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
200 0 -2.16373 0.256412
200 1000 -3.32041 0.26147
200 2000 -2.02084 0.179954
200 3000 -2.11768 0.254305
225 0 -2.14681 0.258136
225 1000 -1.21887 0.21015
225 2000 -1.62483 0.278213
225 3000 -2.07104 0.259266
250 0 -2.61793 0.276119
250 1000 -1.84654 0.213073
250 2000 -4.65631 0.322697
250 3000 -4.22058 0.326549
275 0 -2.11372 0.24763
275 1000 -2.33538 0.201741
275 2000 -2.29317 0.267624

