# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
175 2000 -2.23661 0.210906
175 3000 -2.82427 0.25921
175 4000 -3.59252 0.26203
175 5000 -4.32417 0.262296
175 6000 -3.18343 0.175746
175 7000 -2.81939 0.260982
175 8000 -2.38132 0.176323
175 9000 -3.02852 0.260296
200 3000 -3.15702 0.293252
200 4000 -2.8943 0.203187
200 5000 -3.52196 0.288284
200 6000 -2.7806 0.201449
200 7000 -4.0782 0.298895
200 8000 -1.7436 0.17199
200 9000 -3.36721 0.255128
225 2000 -2.80971 0.259129
225 3000 -2.51047 0.232087
225 4000 -3.50251 0.315738
225 5000 -5.18158 0.337514
225 6000 -2.24135 0.276097
225 7000 -4.1232 0.32829
225 8000 -2.53573 0.330503
225 9000 -2.25613 0.250532
250 2000 -2.37665 0.212822
250 3000 -2.23961 0.367901
250 4000 -2.51289 0.248882
250 5000 -3.17147 0.248904
250 6000 -2.78128 0.365167
250 7000 -2.4216 0.365143
250 8000 -2.42694 0.36007
250 9000 -3.83224 0.359781
275 3000 -5.33704 0.411898
275 4000 -2.17713 0.253824
275 5000 -2.38807 0.291949
275 6000 -2.92358 0.267008
275 7000 -4.11575 0.389471
275 8000 -2.33359 0.219496
275 9000 -2.53675 0.357654
300 4000 -3.04334 0.433662
300 5000 -3.57558 0.41909
300 6000 -3.94109 0.441922
300 7000 -2.61666 0.30621
300 8000 -2.66606 0.294385
300 9000 -2.07553 0.282672
