# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
175 2000 -2.64384 0.187884
175 3000 -3.67886 0.250058
175 4000 -2.25408 0.222348
175 5000 -3.94964 0.200739
175 6000 -2.84687 0.179008
175 7000 -2.35922 0.238129
175 8000 -2.3995 0.174649
175 9000 -2.45675 0.231216
200 3000 -3.2077 0.211596
200 4000 -2.2506 0.248597
200 5000 -3.63943 0.260256
200 6000 -3.77514 0.26928
200 7000 -2.32527 0.225412
200 8000 -3.12444 0.296288
200 9000 -4.74559 0.300046
225 2000 -3.33696 0.233392
225 3000 -1.82883 0.211721
225 4000 -2.92461 0.266155
225 5000 -5.31519 0.33744
225 6000 -2.87982 0.236327
225 7000 -3.29553 0.241104
225 8000 -4.20041 0.334165
225 9000 -9.54089 0.33757
250 2000 -2.78722 0.353767
250 3000 -1.88884 0.316292
250 4000 -3.62277 0.314037
250 5000 -2.82292 0.259627
250 6000 -4.5478 0.374928
250 7000 -4.21832 0.36446
250 8000 -4.70149 0.374912
250 9000 -5.97779 0.375076
275 3000 -3.07172 0.375194
275 4000 -2.94681 0.387949
275 5000 -1.56494 0.198504
275 6000 -2.37282 0.318029
275 7000 -3.69547 0.341988
275 8000 -4.39511 0.403708
275 9000 -5.12639 0.400316
300 4000 -4.18993 0.448184
300 5000 -3.52766 0.280531
300 6000 -2.82461 0.272888
300 7000 -4.93181 0.447939
300 8000 -2.7305 0.227398
300 9000 -3.0882 0.414846
