# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
225 2000 3.96481 0.165441
225 3000 3.13404 0.19654
225 4000 4.65782 0.18654
225 5000 4.38966 0.185147
250 2000 3.25273 0.17888
250 3000 2.71817 0.217296
250 4000 4.63394 0.216322
250 5000 3.22143 0.195339
275 1000 1.53547 0.211551
275 2000 3.55993 0.212791
275 3000 -0.0485133 0.240674
275 4000 3.70794 0.234502
275 5000 2.98887 0.222115

