# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
225 2000 1.29025 0.222163
225 5000 -1.35354 0.228566
225 6000 -2.0442 0.231981
225 7000 -3.43777 0.234492
225 8000 -3.34164 0.230918
225 9000 -3.39077 0.207683
250 5000 0.566443 0.226391
250 6000 0.365068 0.136741
250 7000 -0.275888 0.191254
250 8000 -0.660138 0.121877
250 9000 -1.85814 0.159714
275 5000 0.484817 0.267427
275 6000 -0.0241048 0.218835
275 7000 -0.583487 0.252309
275 8000 -3.29397 0.288809
275 9000 -1.25531 0.236539
300 4000 -0.0400902 0.313707
300 5000 1.98794 0.282021
300 6000 1.73959 0.231424
300 7000 -3.89717 0.315065
300 8000 -1.00552 0.256844
300 9000 -1.89326 0.211502
