# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
200 0 -0.918827 0.227964
200 1000 -0.846598 0.136637
200 2000 -0.396917 0.0925996
200 3000 -0.507647 0.129429
225 0 -0.431135 0.123883
225 1000 -0.7932 0.102322
225 2000 -0.286061 0.122331
225 3000 -0.646669 0.159729
250 0 -0.238595 0.121333
250 1000 -0.642789 0.194456
250 2000 -0.679086 0.164039
250 3000 -0.716151 0.187988
275 0 -0.450718 0.167227
275 1000 -0.369902 0.292332
275 2000 -0.256605 0.171717

