# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
225 2000 2.56384 0.233076
225 5000 0.698049 0.218766
225 6000 -0.832301 0.236049
225 7000 0.958686 0.168933
225 8000 -1.21632 0.233056
225 9000 -1.90729 0.236243
250 5000 1.67784 0.208765
250 6000 0.766025 0.255563
250 7000 1.36098 0.151082
250 8000 -0.391948 0.201297
250 9000 -1.95391 0.257636
275 5000 -0.59248 0.288732
275 6000 0.897267 0.271719
275 7000 1.27184 0.151747
275 8000 -0.259253 0.288511
275 9000 -1.77117 0.287265
300 4000 1.23639 0.314266
300 5000 -1.42033 0.314895
300 6000 3.20678 0.125954
300 7000 0.722451 0.314102
300 8000 0.959342 0.275627
300 9000 -0.433952 0.311098
