# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
175 4000 -2.23649 0.242537
175 5000 -2.2828 0.199097
175 6000 -2.60325 0.25382
175 7000 -1.66935 0.137273
200 3000 -0.963727 0.280088
200 4000 -0.507406 0.200332
200 5000 0.734219 0.236338
200 6000 -0.63864 0.174273
200 7000 -1.33873 0.204904
200 8000 -0.960702 0.241794
200 9000 -2.08314 0.28837
225 2000 0.347819 0.229237
225 3000 -1.08316 0.238004
225 4000 -1.68629 0.251744
225 5000 -1.94241 0.303655
225 6000 -0.89722 0.320566
225 7000 -3.26194 0.337363
225 8000 -2.90488 0.322834
225 9000 -1.60175 0.301251
250 2000 1.28388 0.198662
250 3000 -0.128808 0.276868
250 4000 0.280649 0.246951
250 5000 -0.187022 0.357874
250 6000 -1.66931 0.373073
250 7000 -2.07441 0.260611
250 8000 -3.14335 0.370821
250 9000 -4.77529 0.375051
275 3000 0.398191 0.216185
275 4000 1.12874 0.176557
275 5000 0.26017 0.233524
275 6000 -0.0825432 0.369734
275 7000 -1.81066 0.383892
275 8000 -2.9023 0.391846
275 9000 -5.3862 0.412553
300 4000 0.64284 0.322117
300 5000 0.623454 0.200958
300 6000 -1.80532 0.372258
300 7000 -1.73871 0.44654
300 8000 -1.09723 0.345765
300 9000 -2.36888 0.433248
