# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
225 2000 0.0976955 0.196915
225 3000 1.35328 0.150003
225 4000 2.07181 0.155639
225 5000 3.14866 0.119112
250 2000 1.06474 0.2085
250 3000 0.625631 0.214439
250 4000 0.446938 0.214365
250 5000 1.0384 0.216079
275 1000 0.554674 0.133054
275 2000 0.0298952 0.239671
275 3000 0.0918421 0.22066
275 4000 1.89911 0.144405
275 5000 0.557124 0.239512

