# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
175 4000 -0.86006 0.186285
175 5000 -2.00361 0.218354
175 6000 -2.56437 0.248143
175 7000 -2.77953 0.216274
200 3000 0.53917 0.246663
200 4000 -0.551678 0.282437
200 5000 -1.39637 0.296527
200 6000 -2.3558 0.300052
200 7000 -1.51743 0.190816
200 8000 -1.18824 0.275607
200 9000 -2.06177 0.239576
225 2000 0.678194 0.323848
225 3000 0.85416 0.252357
225 4000 1.40422 0.223756
225 5000 -2.27142 0.29599
225 6000 -2.70975 0.237873
225 7000 -1.55686 0.319662
225 8000 -2.58042 0.246184
225 9000 -5.13117 0.337548
250 2000 0.552163 0.354664
250 3000 0.841112 0.231572
250 4000 -1.53747 0.374181
250 5000 -0.108756 0.260556
250 6000 -0.0438096 0.289022
250 7000 -0.186907 0.211234
250 8000 -1.05676 0.228708
250 9000 -4.81804 0.375077
275 3000 1.61171 0.26366
275 4000 -1.46575 0.404994
275 5000 0.054545 0.255331
275 6000 0.309124 0.207128
275 7000 -0.332602 0.244285
275 8000 -0.667958 0.239251
275 9000 -2.1627 0.38032
300 4000 -0.114328 0.319887
300 5000 0.775889 0.256186
300 6000 2.2774 0.34654
300 7000 -0.92461 0.433409
300 8000 -1.27332 0.43366
300 9000 0.249216 0.218811
