# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
200 3000 0.571171 0.299913
200 4000 1.10503 0.287945
200 5000 0.965914 0.292642
200 6000 1.60154 0.189062
200 7000 0.800435 0.278754
200 8000 0.95479 0.277732
200 9000 -2.35581 0.300043
225 2000 4.59723 0.251592
225 3000 2.30276 0.297161
225 4000 1.31849 0.182816
225 5000 2.86574 0.181008
225 6000 1.45887 0.33598
225 7000 0.812738 0.311859
225 8000 2.12111 0.227752
225 9000 1.14933 0.24316
250 2000 3.07947 0.27521
250 3000 1.85571 0.350533
250 4000 1.92593 0.329482
250 5000 1.75443 0.366104
250 6000 -0.123563 0.369182
250 7000 0.862063 0.362314
250 8000 0.409392 0.32186
250 9000 0.162899 0.23075
275 3000 2.68496 0.269379
275 4000 2.1565 0.398387
275 5000 1.16239 0.319904
275 6000 0.97716 0.280038
275 7000 0.652695 0.408079
275 8000 0.271239 0.337964
275 9000 -0.437719 0.314613
300 4000 1.31698 0.417272
300 5000 3.57338 0.190106
300 6000 2.12904 0.389325
300 7000 0.486713 0.416517
300 8000 2.03955 0.438745
300 9000 1.22104 0.316912
