# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
200 3000 3.30767 0.241048
200 4000 0.685778 0.299308
200 5000 2.48268 0.276449
200 6000 0.334923 0.287433
200 7000 0.625884 0.200196
200 8000 -0.455293 0.29608
200 9000 -1.34551 0.299296
225 2000 2.54777 0.261245
225 3000 2.31469 0.148578
225 4000 0.829422 0.264016
225 5000 1.77222 0.194453
225 6000 2.4305 0.194419
225 7000 0.124642 0.331134
225 8000 1.02849 0.327467
225 9000 1.35951 0.187516
250 2000 1.81815 0.369545
250 3000 0.391148 0.291086
250 4000 2.04367 0.254233
250 5000 2.47111 0.328221
250 6000 1.84055 0.232441
250 7000 2.10645 0.241484
250 8000 0.29123 0.316091
250 9000 -0.200422 0.36332
275 3000 2.63242 0.286615
275 4000 2.22815 0.384001
275 5000 2.34748 0.328385
275 6000 2.61354 0.239951
275 7000 1.11697 0.403747
275 8000 1.82597 0.284098
275 9000 1.86713 0.251201
300 4000 2.15711 0.378096
300 5000 2.92527 0.272176
300 6000 1.1199 0.318513
300 7000 1.41133 0.302711
300 8000 3.07244 0.167034
300 9000 0.675404 0.395122
