# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
200 3000 1.61115 0.299699
200 4000 2.31709 0.287297
200 5000 2.86616 0.28242
200 6000 1.5039 0.205022
200 7000 1.89316 0.208827
200 8000 0.906222 0.292226
200 9000 2.11736 0.237501
225 2000 2.45829 0.245921
225 3000 3.43172 0.240154
225 4000 2.1493 0.310556
225 5000 1.57019 0.23232
225 6000 2.67025 0.267206
225 7000 0.276104 0.33731
225 8000 -0.0206003 0.33611
225 9000 1.35082 0.163871
250 2000 3.79248 0.228778
250 3000 2.51345 0.22141
250 4000 3.34147 0.196867
250 5000 -0.207716 0.375044
250 6000 1.33631 0.235118
250 7000 3.21934 0.363598
250 8000 2.46047 0.266509
250 9000 0.928359 0.371221
275 3000 3.81203 0.212585
275 4000 3.39591 0.304556
275 5000 1.85553 0.282241
275 6000 0.140391 0.409576
275 7000 3.27454 0.255721
275 8000 2.02654 0.263753
275 9000 2.066 0.23831
300 4000 2.88582 0.312111
300 5000 2.60359 0.309134
300 6000 2.68006 0.291071
300 7000 2.01079 0.345696
300 8000 1.71985 0.302322
300 9000 1.4264 0.332389
