# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
225 2000 2.53396 0.189722
225 5000 -0.168588 0.236284
225 6000 1.77733 0.158329
225 7000 0.121274 0.158063
225 8000 -1.11795 0.236211
225 9000 -0.497617 0.136422
250 5000 1.84589 0.24696
250 6000 1.9958 0.204207
250 7000 -1.76581 0.26203
250 8000 0.492078 0.172304
250 9000 0.190751 0.242452
275 5000 2.20469 0.172091
275 6000 -0.917072 0.287346
275 7000 0.276653 0.270471
275 8000 -1.5418 0.288706
275 9000 0.439811 0.279846
300 4000 3.10428 0.191351
300 5000 2.58282 0.236119
300 6000 1.73828 0.277654
300 7000 0.636493 0.290524
300 8000 2.01018 0.214067
300 9000 -1.17014 0.259141
