# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
175 4000 -0.595927 0.243446
175 5000 0.0623691 0.253423
175 6000 -1.5437 0.182584
175 7000 -0.541389 0.219098
200 3000 1.00932 0.265309
200 4000 0.577154 0.153944
200 5000 0.472806 0.210177
200 6000 -0.622218 0.1986
200 7000 -0.933642 0.28292
200 8000 -0.346953 0.192711
200 9000 -1.27657 0.196516
225 2000 0.532993 0.336566
225 3000 2.1634 0.130369
225 4000 0.0224288 0.220945
225 5000 -0.131414 0.336615
225 6000 1.43886 0.171053
225 7000 -0.76605 0.335303
225 8000 -1.18108 0.325777
225 9000 -0.916323 0.279333
250 2000 -0.163499 0.369605
250 3000 1.7481 0.186207
250 4000 0.945868 0.208075
250 5000 0.950017 0.239968
250 6000 0.872891 0.224696
250 7000 1.16835 0.160819
250 8000 -0.0307961 0.366175
250 9000 -3.18076 0.374783
275 3000 1.85297 0.159128
275 4000 3.20165 0.277343
275 5000 1.13692 0.322274
275 6000 0.118039 0.291986
275 7000 0.324274 0.282386
275 8000 -0.232167 0.368102
275 9000 0.312506 0.204175
300 4000 0.178312 0.299513
300 5000 1.54779 0.197327
300 6000 1.54362 0.169399
300 7000 0.625214 0.347992
300 8000 1.33547 0.194768
300 9000 0.574009 0.336512
