# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
100 10000 2.36615 0.0888832
100 3000 0.534489 0.0888853
100 4000 0.681951 0.0889069
100 5000 1.77457 0.0870722
100 6000 1.87388 0.0871461
100 7000 2.11545 0.0876958
100 8000 2.61943 0.0736062
100 9000 3.41456 0.0426954
125 10000 3.0406 0.0558076
125 2000 -0.210875 0.111093
125 3000 1.13161 0.0749274
125 4000 1.72624 0.0809808
125 5000 2.78123 0.0559853
125 6000 2.33002 0.0983958
125 7000 2.91885 0.0862456
125 8000 2.60544 0.109026
125 9000 3.06102 0.068737
150 2000 -0.420909 0.0892907
150 3000 -0.137478 0.12459
150 4000 0.931826 0.130191
150 5000 1.33188 0.133255
150 6000 2.14211 0.115006
150 7000 2.71065 0.0819105
175 1000 -0.361237 0.0843931
175 2000 0.271693 0.100557
175 3000 -0.582823 0.154305
25 10000 1.45839 0.0202174
25 3000 1.89827 0.02052
25 4000 2.24084 0.0201047
25 5000 2.19473 0.0219992
25 6000 2.32244 0.0221094
25 7000 2.07089 0.0202157
25 8000 2.09423 0.0208004
25 9000 1.59386 0.0222267
50 10000 1.88626 0.0444479
50 3000 1.55721 0.0442998
50 4000 1.8267 0.0444281
50 5000 2.30022 0.0444429
50 6000 1.31635 0.0444535
50 7000 2.01953 0.0444496
50 8000 2.46149 0.0440937
50 9000 2.09126 0.0357073
75 10000 1.89878 0.0557395
75 3000 0.579513 0.0666802
75 4000 2.05574 0.0398901
75 5000 2.97094 0.0407523
75 6000 2.8978 0.0603172
75 7000 2.87473 0.0468695
75 8000 2.81307 0.0659418
75 9000 2.21447 0.0656168
