#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.0901671594681186 -156.495479040264 69.0520526438625 0 275.359362752204 275 11.0905123982926 -156.459462277931
0.091329504794897 -156.495855604586 1084.28214060418 1000 275.412571088869 275 10.949364088262 -156.452908684126
0.0923858360242723 -156.496064317347 2028.32813994908 2000 275.424349236518 275 10.8241700571641 -156.446815749482
0.0933869955197747 -156.496277585112 2948.23703728804 3000 275.043262697755 275 10.7081290540957 -156.441076768982
0.0943264962843301 -156.496184229508 4000.89686112738 4000 275.0955827123 275 10.6014750827348 -156.434201738487
0.095267355391742 -156.496193797709 5029.35048786813 5000 274.964286604935 275 10.4967750588643 -156.427757582182
0.0963057616258251 -156.495954641726 5940.86028456488 6000 274.881491572604 275 10.3835947415616 -156.421974328912
0.0972375261148184 -156.495679391287 6955.94569541745 7000 275.118701882688 275 10.2840954511656 -156.415524285095
0.0983490483901989 -156.495107786857 8015.40159667501 8000 274.957725631406 275 10.1678665565986 -156.408757063578
0.0994007164718181 -156.494636025229 9024.01224499851 9000 275.246490655166 275 10.0602896588127 -156.402441473895
0.100504761516567 -156.493901569844 9976.57040179277 10000 275.427552617858 275 9.94977735293823 -156.396396642501
0.101970400490755 -156.492626444174 10915.651193488 11000 275.082087554872 275 9.8067674068875 -156.39031252631
0.103334971852693 -156.491465057831 11996.3496549266 12000 274.990830925977 275 9.67726590592703 -156.383515794363
0.105107999162148 -156.489707909168 13036.9205672673 13000 274.920809494593 275 9.51402374673045 -156.376813953366
