#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.0896585737234588 -156.501436580158 -0.172579780646896 0 225.175947375903 225 11.1534230188 -156.472353971687
0.0907049452251057 -156.501735592302 994.673005343032 1000 224.933191393789 225 11.0247572226439 -156.465834460826
0.0917773327846083 -156.5019148434 2039.48370172379 2000 224.722774119537 225 10.895936607211 -156.459018283838
0.0927258799780807 -156.50200222841 3043.16431029451 3000 224.904971278518 225 10.7844757066354 -156.452466921425
0.0936413843041123 -156.502008035787 3980.20863323952 4000 225.019198608114 225 10.6790390534208 -156.446414210872
0.0944930628276733 -156.501937996421 5025.13324402975 5000 224.685422259573 225 10.5827874562993 -156.439724049586
0.0953231770991479 -156.501805284839 6032.08927888613 6000 225.057316973492 225 10.4906280972976 -156.433237410824
0.0961482289580601 -156.501621270721 7009.39332733561 7000 224.916922840916 225 10.400607591391 -156.427066793591
0.0969645343576316 -156.501322774415 8029.53040227037 8000 225.160674939165 225 10.313049060925 -156.420554989102
0.0977953838046908 -156.500936464351 8966.19489719213 9000 225.180875211882 225 10.2254315193151 -156.414626029314
0.098612794091432 -156.500525903359 9987.78064552624 10000 225.013298229003 225 10.1406720011687 -156.408242387437
0.0994460889608445 -156.499976350129 10968.7142335792 11000 224.913969528814 225 10.0556996303166 -156.402081298496
0.100302225670871 -156.499350267594 12067.5043073921 12000 224.869692593026 225 9.96986849804678 -156.395211846607
0.101297720518474 -156.498464244055 12964.5511188542 13000 225.089391557991 225 9.87189045204255 -156.389507908029
