#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.0687573290282515 -156.484760640811 -3.70987351321345 0 200.009290840047 200 14.5439041064133 -156.458973197894
0.070613943046693 -156.485336629847 990.489163329174 1000 199.959455601127 200 14.1615091418809 -156.450769680635
0.0803010172147016 -156.48318318724 2026.43655576296 2000 199.973608249987 200 12.4531423721108 -156.441630160534
0.107369865463007 -156.489019591643 3023.00330947977 3000 199.795032627169 200 9.31360019580671 -156.445652939707
0.109506066578021 -156.490579673685 4047.99987118058 4000 199.924019200722 200 9.13191416009376 -156.441701407839
0.112086493897656 -156.490577914651 4984.39496751424 5000 199.9829505624 200 8.921681508863 -156.437004695127
0.114271538292403 -156.490310667551 6060.82978391912 6000 200.207810824904 200 8.75108548413127 -156.431359119268
0.115784043865207 -156.490541796725 7022.5713992343 7000 200.020209678816 200 8.63676864805459 -156.426863191721
0.117704934090096 -156.489904814681 7970.48565817826 8000 199.729150253139 200 8.49582056801933 -156.421855233121
0.119608741328645 -156.489476126281 8985.04856048366 9000 200.07127184485 200 8.36059295409132 -156.416761291263
0.121306809769422 -156.489301342082 9959.12904566046 10000 200.022743465059 200 8.24356029064471 -156.412238667632
0.122539802274801 -156.489173589952 11026.0866687075 11000 199.968799823524 200 8.16061378781608 -156.407196703453
0.123584076740894 -156.48918768241 12033.0389026093 12000 200.061601919755 200 8.0916573265065 -156.402587193335
