#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.0932036372517895 -156.480566741446 -68.1210691335629 0 250.110366584905 250 10.7291950130498 -156.448712298669
0.0955427467770113 -156.479980518236 371.620072964125 333.000333000333 250.115769730784 250 10.46651926738 -156.445237247777
0.097960755707103 -156.479582063135 673.455295313051 666.000666000666 249.610609395068 250 10.2081695142282 -156.443043644663
0.100931949805921 -156.478824988384 992.772339223002 999.000999000999 249.633101761671 250 9.9076655303189 -156.440435136553
0.10202288854388 -156.478927680679 1343.7471009905 1332.00133200133 250.068681820855 250 9.80172208680311 -156.438401872877
0.103403894817442 -156.478657816375 1654.28950590025 1665.00166500167 249.833731873248 250 9.67081560869141 -156.436400669046
0.105278786593696 -156.478900992872 2024.37450568382 1998.001998002 250.02892856253 250 9.49858971930704 -156.434600722391
0.105641226270489 -156.479311922469 2362.38005530277 2331.00233100233 249.903276540898 250 9.46600144000176 -156.43306838625
0.107106430565303 -156.478346251942 2674.3862955166 2664.00266400266 249.975680613017 250 9.33650757216016 -156.430468700878
0.107647544703019 -156.478981372475 3046.41153163276 2997.002997003 249.89539946541 250 9.28957555658913 -156.429034746484
0.108782628797898 -156.478820020387 3304.33302222497 3330.00333000333 250.064449036282 250 9.19264418455866 -156.427555124137
0.110121797784069 -156.479166357803 3691.52859091446 3663.00366300366 250.244344703315 250 9.08085429154401 -156.425915744049
0.110705949355689 -156.478707834199 4064.23922109901 3996.003996004 249.748067052642 250 9.03293820991573 -156.423531943831
0.111560937139054 -156.478344822597 4337.40855569952 4329.00432900433 250.126149094054 250 8.96371100534553 -156.421763756312
