#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.0746904549593912 -156.497160694423 12.0108177367902 0 199.77658726799 200 13.3885916285246 -156.471269606181
0.0759628793103348 -156.497633096477 973.322151328935 1000 199.671896356327 200 13.1643245895755 -156.463862140613
0.0771602492553266 -156.497949061558 2001.17494759514 2000 199.929094722857 200 12.9600410788067 -156.455957376566
0.0782328782685071 -156.498010432283 2990.61641604281 3000 200.065200366579 200 12.7823495969028 -156.448327312039
0.0791386100149411 -156.498042171159 4020.99098185028 4000 199.99303434805 200 12.6360571636424 -156.440515086674
0.0800838811589773 -156.49792035239 5021.41379084257 5000 199.950310047284 200 12.4869072967988 -156.432977552159
0.0808779822331296 -156.4976936746 5988.03741422804 6000 200.039802816358 200 12.364304504006 -156.425660289889
0.0817196968096738 -156.497469336396 7021.90617269084 7000 200.358450012816 200 12.2369519104924 -156.417974476959
0.0825122593542736 -156.497123160757 8012.58587291635 8000 200.027393520935 200 12.1194111981156 -156.410693805237
0.0833002443950986 -156.496609899293 9015.03928970264 9000 200.117641313593 200 12.0047666998062 -156.403228027079
