#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.120309876040356 -156.483688601377 -77.5069202581622 0 275.555846564248 275 8.3118695896966 -156.448532359069
0.121358959545418 -156.484145843987 967.724891610131 1000 274.902019588611 275 8.24001790840793 -156.443695346095
0.122493853435192 -156.484754408696 2063.27373800211 2000 275.596923253735 275 8.16367492699603 -156.438673105976
0.123407274718757 -156.485029639279 2985.91927472895 3000 274.768215626877 275 8.10325000919907 -156.434470164541
0.124336403529516 -156.485321275168 4021.00288393612 4000 275.252917481746 275 8.04269684189966 -156.429618422527
0.125286407561943 -156.485669076215 5017.43629345021 5000 274.894281536518 275 7.98171181902224 -156.425205169881
0.126156433030768 -156.485872134679 5958.1086380366 6000 274.721147302824 275 7.92666672619155 -156.420942090009
0.127006187057763 -156.486069077643 7069.43537864809 7000 274.90023630038 275 7.87363216836981 -156.415853803639
0.127763257051118 -156.486156702403 8035.07723205918 8000 275.144595678654 275 7.8269764177967 -156.411400617301
0.128615746035146 -156.486275794403 8948.70344143939 9000 274.906086462203 275 7.77509776856353 -156.407371576983
0.12944662943856 -156.486312594115 9912.48978401694 10000 275.10703093997 275 7.72519148885708 -156.403013302059
0.130259509800515 -156.486310671937 11013.7167239996 11000 275.149421192869 275 7.67698267505722 -156.398032850629
0.131075209755397 -156.486333122904 11846.7457007541 12000 274.526519764153 275 7.62920770347138 -156.394500254752
0.13192057308538 -156.486303537478 12934.4309788802 13000 275.601190225973 275 7.58031879798455 -156.38953919782
0.132850549180121 -156.486272863279 13865.6576954872 14000 275.413368430599 275 7.52725529680864 -156.385589552224
0.133797161215753 -156.48615458717 15146.5299592457 15000 274.937878002209 275 7.47400012760707 -156.380029184963
0.134717806269283 -156.486068173401 16240.400659426 16000 274.812991045764 275 7.42292372250431 -156.375365083127
0.135670620297325 -156.48591823408 17036.81713752 17000 275.186525982891 275 7.37079256959596 -156.37203842526
0.13673415977671 -156.485736196486 17964.1579269561 18000 274.557430265319 275 7.3134614030102 -156.368301969381
