#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.120166098958881 -156.495977794079 4.42727145103745 0 225.070546500691 225 8.3218146271203 -156.466909544535
0.121017489433457 -156.496254828077 946.130630801754 1000 225.208318271251 225 8.26326843071607 -156.462313736458
0.121987633157247 -156.496487425506 1954.2774204854 2000 224.612266853629 225 8.19755227737683 -156.457503873309
0.122875518161523 -156.496708808626 3019.54485446506 3000 224.84624772798 225 8.1383176645935 -156.452355508585
0.123789908702361 -156.496840302345 4025.76734792143 4000 224.887260220316 225 8.07820290428028 -156.447518591458
0.124593131599131 -156.496961101514 5006.59875001391 5000 225.09961726376 225 8.0261246118881 -156.44283061491
0.125418331965214 -156.497094057791 6030.1412724071 6000 225.064480948014 225 7.97331605619948 -156.438044932654
0.126177805603027 -156.497089893249 7052.32079955828 7000 224.993594515808 225 7.92532407122486 -156.43317335366
0.127045769318234 -156.497065398235 8000.20719755718 8000 224.739580467754 225 7.87117906693238 -156.428763885268
0.127775513058895 -156.497067379021 9038.44333871802 9000 224.889798270084 225 7.82622566766042 -156.423904553022
0.128637933856462 -156.497029439085 10015.1152066349 10000 225.12366739282 225 7.77375669851655 -156.419384935539
0.129373257293235 -156.496894784592 11081.5663972821 11000 224.617209411349 225 7.72957271790275 -156.414447716887
0.130140503489124 -156.4968214063 12013.3289052074 12000 224.951883341716 225 7.68400285222173 -156.410180182164
0.13105242139386 -156.496639869312 12907.5919675565 13000 224.587939344422 225 7.63053432637186 -156.406183896731
0.131844481107526 -156.496471184023 14018.6350095751 14000 225.213233115129 225 7.5846936602864 -156.401042262508
0.132739801165446 -156.496261720934 14973.5597293011 15000 225.053568796441 225 7.53353546728312 -156.396814812951
0.13367555864135 -156.495988354093 15901.8320164159 16000 224.894209490703 225 7.48079910915494 -156.392718438269
0.134565403377371 -156.495728993205 17028.9130796637 17000 224.796492093866 225 7.43133060134063 -156.387737656624
0.135551190307852 -156.495387036183 17943.3727516778 18000 225.0953605661 225 7.37728674848877 -156.383715224318
0.136605321838692 -156.495079692433 19019.5015882523 19000 224.641494596131 225 7.32035902071836 -156.379190717823
0.137753269752154 -156.494642214175 19879.3645375641 20000 225.070681490224 225 7.25935581637521 -156.375520565017
