#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.134796485650564 -156.493576548268 1504.09097767356 1500 124.932018151414 125 7.41859103502388 -156.470480985361
0.135085056527895 -156.493632099298 2594.6269449474 2500.050010002 125.243156964372 125 7.40274332115705 -156.46547124322
0.135362761456058 -156.493696313206 3435.90415663732 3500.100020004 124.95455308597 125 7.38755614353083 -156.461719263502
0.135721925805018 -156.49374580896 4486.39978390824 4500.150030006 124.966726373171 125 7.3680062677318 -156.456977664395
0.136063906785603 -156.493757089666 5469.5946972431 5500.200040008 125.013487416707 125 7.34948763139446 -156.452525696128
0.137566424558695 -156.493675158606 10009.9315162106 10000 125.076873165889 125 7.26921560408319 -156.432109616327
0.137852928996717 -156.493643307945 11028.2718538516 11000 124.862419407237 125 7.25410774568177 -156.427588554812
0.138203276850138 -156.493556410015 12038.6151540429 12000 125.073351750865 125 7.23571844887844 -156.423037024237
0.138490933373831 -156.493535402078 12980.1861975389 13000 125.000229269955 125 7.22068929451635 -156.418896182962
0.138818678903367 -156.493434579252 14040.9808503001 14000 124.948342454353 125 7.20364152648441 -156.414171031462
0.139134824792057 -156.493361796985 15008.2656836844 15000 125.028353372332 125 7.18727321858163 -156.40989267337
0.139444573092701 -156.493238864568 15970.0574533576 16000 124.782924135812 125 7.17130812495091 -156.405645236371
