#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.0929618488034737 -156.519415872555 -26.3642892042479 0 125.041189661594 125 10.757101035222 -156.503451921619
0.0937580296301131 -156.519530097499 1005.46215411936 1000 124.829773396597 125 10.665753151438 -156.496722767843
0.0945387732186585 -156.519585567642 2061.4833052179 2000 124.949026466734 125 10.5776705784737 -156.489850635936
0.0952405846173103 -156.51958160015 3003.88821770857 3000 125.23306195267 125 10.4997255531152 -156.483731156857
0.0960254374980261 -156.519441509338 4011.85210602044 4000 124.979332385034 125 10.4139072526543 -156.47723095973
0.0966438850351744 -156.519356686354 4991.77520508129 5000 125.174138517899 125 10.347266147631 -156.470964467936
0.0973238230016809 -156.519150745417 6025.22831421015 6000 124.802175140931 125 10.2749765592616 -156.464401177713
0.0980319022976587 -156.518939969295 7008.12132880571 7000 124.943846969951 125 10.2007609417152 -156.458193653828
0.0986820805672112 -156.518706752047 8014.80963374828 8000 124.883708334368 125 10.1335520517214 -156.451890526172
0.0993496344624386 -156.518363489018 9014.13388067018 9000 124.951015099696 125 10.0654622979823 -156.445604463172
0.100016261900038 -156.518018054896 9996.80331380646 10000 125.028104027159 125 9.99837407440257 -156.439499908924
0.100730010996024 -156.517567313824 10973.4632208718 11000 125.054952289882 125 9.92752795430024 -156.433430226277
0.101415291985363 -156.517120556316 12009.1807269142 12000 124.877110126091 125 9.86044589946386 -156.427093764262
0.102132789472597 -156.51660883687 12997.6226339681 13000 125.11924552472 125 9.79117485348139 -156.421032340626
0.102815290828284 -156.516062658562 14032.7594850698 14000 124.840183300419 125 9.72617975345848 -156.414760637986
0.103637662515456 -156.515355241516 14966.2268217904 15000 124.92899464398 125 9.64900187565368 -156.409096783606
0.103651315177333 -156.515341946224 15003.2013884197 15000 124.984099750372 125 9.64773093606323 -156.408864053463
0.104562742785203 -156.514478779538 16048.7059418229 16000 125.019305769019 125 9.56363589327647 -156.402542785144
