#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.109659858937135 -156.488844661645 11.5810775332258 0 275.369723739504 275 9.11910711624455 -156.453231160378
0.111453022554972 -156.489314512437 962.091973677746 1000 274.902706793726 275 8.97239013420899 -156.448437948791
0.112933847966993 -156.48961298607 2130.84241285767 2000 275.072786945946 275 8.85474123127608 -156.442319746089
0.114427880517862 -156.489963441399 3035.21354161991 3000 274.878092573557 275 8.73912892097917 -156.43792404147
0.115669945785081 -156.490161754228 4021.76291563254 4000 274.632645589515 275 8.645288049655 -156.433008862634
0.116860147917912 -156.49025865857 5042.03045505974 5000 274.659281316888 275 8.55723715755045 -156.427873126152
0.118030529773792 -156.49042402855 6036.1567306655 6000 274.707242745317 275 8.47238423750633 -156.423041068482
0.119075664949327 -156.490501572045 7063.74548024746 7000 274.957359455434 275 8.39802154727039 -156.417983324205
0.120148782217102 -156.490521841385 7989.63372068771 8000 275.264708350448 275 8.32301402933124 -156.413489980287
0.12110670647245 -156.490435147671 8927.34250226602 9000 274.897347991157 275 8.25718103586182 -156.408940551658
0.122164110105734 -156.490462240812 10012.9973522994 10000 275.171597472559 275 8.18571018226626 -156.403783044939
0.122982001028043 -156.490345830619 10934.9194533838 11000 275.130309403286 275 8.13127117497439 -156.399332110776
0.124007826709683 -156.490188452786 12054.1485554614 12000 274.755542165141 275 8.06400713997767 -156.394051017704
0.124814785444619 -156.490064124697 12989.3804076207 13000 275.355121781113 275 8.01187132147664 -156.389564655084
0.125817999405479 -156.489768899466 14013.0982655288 14000 275.087305168435 275 7.94798840170126 -156.384738120136
0.126657119288016 -156.489630611125 15070.7854141453 15000 275.094317405662 275 7.89533194518676 -156.379848199085
0.127704694316985 -156.489333182224 16081.5479190956 16000 275.066099174305 275 7.8305657074581 -156.375226158731
0.128519269353668 -156.489002592153 17137.1673250137 17000 274.89950138034 275 7.78093436905662 -156.370291635152
0.129519683898541 -156.4887005731 18047.8921706817 18000 275.388419272422 275 7.72083416126422 -156.366178763989
0.130429735070162 -156.488279550759 18882.328898859 19000 275.300055401075 275 7.66696336124637 -156.362383959407
0.131394077540633 -156.487917886571 20005.0021051774 20000 275.01163791977 275 7.61069310518012 -156.357390907628
0.132287125803907 -156.487591882585 20956.5435710116 21000 274.785842012279 275 7.55931458880078 -156.353248657633
0.133463769417713 -156.486917014488 21891.2012448235 22000 275.179717733338 275 7.49267014083962 -156.349017674158
0.134372195648832 -156.486574935324 23161.1612315357 23000 275.251186313919 275 7.44201577693499 -156.343458257737
0.135470692911261 -156.486004895694 24017.5200103628 24000 275.026895437474 275 7.38167037098599 -156.339847572131
0.136481693705552 -156.485524019221 25013.201819095 25000 274.919828547443 275 7.32698996363146 -156.335642786872
