# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.25 275 6000 145.972 0.0544418
1 275 7000 354.223 0.100158
0.707107 275 7000 273.568 0.0711421
0.5 275 7000 214.51 0.076096
0.25 275 7000 145.854 0.0550335
1 275 8000 354.205 0.0889249
0.707107 275 8000 273.446 0.0844111
0.5 275 8000 214.374 0.0645556
0.25 275 8000 145.794 0.0570095
1 275 9000 354.06 0.0695016
0.707107 275 9000 273.376 0.0689701
0.5 275 9000 214.362 0.0686576
0.25 275 9000 145.753 0.0536672
1 300 10000 360.484 0.123381
0.707107 300 10000 279.366 0.0800966
0.5 300 10000 220.696 0.0656579
0.25 300 10000 153.386 0.0465901
1 300 4000 361.199 0.0960011
0.707107 300 4000 280.096 0.0817671
0.5 300 4000 221.223 0.0525236
0.25 300 4000 153.682 0.0513244
1 300 5000 361.144 0.0980893
0.707107 300 5000 279.924 0.087355
0.5 300 5000 221.112 0.0611748
0.25 300 5000 153.613 0.0516852
1 300 6000 361.001 0.131353
0.707107 300 6000 279.899 0.0971495
0.5 300 6000 221.059 0.054145
0.25 300 6000 153.603 0.0593541
1 300 7000 360.964 0.111676
0.707107 300 7000 279.689 0.0872023
0.5 300 7000 221.023 0.0685646
0.25 300 7000 153.545 0.0585769
1 300 8000 360.842 0.114523
0.707107 300 8000 279.611 0.104071
0.5 300 8000 220.87 0.0632701
0.25 300 8000 153.5 0.0454512
1 300 9000 360.714 0.127409
0.707107 300 9000 279.501 0.0849035
0.5 300 9000 220.685 0.0509514
0.25 300 9000 153.429 0.0525973
1 325 2000 367.588 0.109992
0.707107 325 2000 286.377 0.0969397
0.5 325 2000 227.972 0.0504743
0.25 325 2000 161.661 0.0495232
1 325 3000 367.661 0.112954
0.707107 325 3000 286.5 0.0897592
0.5 325 3000 228.009 0.0505485
0.25 325 3000 161.64 0.0472858
1 325 4000 367.538 0.108029
0.707107 325 4000 286.263 0.0780185
0.5 325 4000 227.776 0.0534725
0.25 325 4000 161.52 0.0385154
1 325 5000 367.294 0.131606
0.707107 325 5000 286.186 0.0897793
0.5 325 5000 227.71 0.0503279
0.25 325 5000 161.456 0.0516348
1 325 6000 367.274 0.11491
0.707107 325 6000 286.073 0.0804885
0.5 325 6000 227.62 0.0552398
0.25 325 6000 161.429 0.0405002
1 325 7000 367.3 0.114721
0.707107 325 7000 285.88 0.108104
0.5 325 7000 227.53 0.0628959
0.25 325 7000 161.346 0.0464853
1 325 8000 367.329 0.136254
0.707107 325 8000 285.935 0.0898419
0.5 325 8000 227.498 0.0618739
0.25 325 8000 161.348 0.0455244
1 325 9000 367.072 0.11095
0.707107 325 9000 285.791 0.10235
0.5 325 9000 227.338 0.0424413
0.25 325 9000 161.26 0.0428111
