# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.707107 225 9000 261.686 0.0721694
0.5 225 9000 202.319 0.0637554
0.25 225 9000 131.381 0.0448788
1 250 10000 348.24 0.0857417
0.707107 250 10000 267.726 0.074343
0.5 250 10000 208.26 0.0639968
0.25 250 10000 138.479 0.0283172
1 250 2000 348.912 0.0869558
0.707107 250 2000 268.488 0.0583052
0.5 250 2000 209.017 0.0537334
0.25 250 2000 138.916 0.0517433
1 250 3000 348.922 0.0830181
0.707107 250 3000 268.499 0.0670354
0.5 250 3000 208.944 0.0568866
0.25 250 3000 138.878 0.0395686
1 250 4000 348.695 0.0855126
0.707107 250 4000 268.3 0.0562862
0.5 250 4000 208.887 0.0562929
0.25 250 4000 138.849 0.0323944
1 250 5000 348.759 0.102196
0.707107 250 5000 268.327 0.0574743
0.5 250 5000 208.76 0.060375
0.25 250 5000 138.763 0.0433698
1 250 6000 348.535 0.108132
0.707107 250 6000 268.124 0.0612421
0.5 250 6000 208.69 0.0602637
0.25 250 6000 138.717 0.0387819
1 250 7000 348.552 0.0964794
0.707107 250 7000 267.992 0.0576853
0.5 250 7000 208.563 0.0675837
0.25 250 7000 138.63 0.0350229
1 250 8000 348.41 0.113578
0.707107 250 8000 267.938 0.0753544
0.5 250 8000 208.515 0.0591215
0.25 250 8000 138.592 0.039661
1 250 9000 348.383 0.0821677
0.707107 250 9000 267.818 0.0574271
0.5 250 9000 208.392 0.0625439
0.25 250 9000 138.532 0.0327189
1 275 10000 354.722 0.0844393
0.707107 275 10000 273.682 0.0669129
0.5 275 10000 214.497 0.0597065
0.25 275 10000 145.859 0.0118199
1 275 1000 355.891 0.102895
0.707107 275 1000 274.801 0.0744409
0.5 275 1000 215.452 0.064449
0.25 275 1000 146.382 0.0150245
1 275 2000 355.577 0.0641753
0.707107 275 2000 274.613 0.0598086
0.5 275 2000 215.318 0.0522067
0.25 275 2000 146.327 0.0161236
1 275 3000 355.512 0.0814706
0.707107 275 3000 274.537 0.0773162
0.5 275 3000 215.321 0.0523295
0.25 275 3000 146.293 0.0190344
1 275 4000 355.431 0.0841632
0.707107 275 4000 274.416 0.0686163
0.5 275 4000 215.145 0.0728769
0.25 275 4000 146.202 0.0255372
1 275 5000 355.185 0.0830223
0.707107 275 5000 274.247 0.05925
0.5 275 5000 214.972 0.0595533
0.25 275 5000 146.18 0.0154425
1 275 6000 355.283 0.0807065
0.707107 275 6000 274.265 0.0692465
0.5 275 6000 214.914 0.0602178
0.25 275 6000 146.075 0.0211361
1 275 7000 355.257 0.0637999
0.707107 275 7000 274.082 0.068864
0.5 275 7000 214.828 0.0582203
0.25 275 7000 146.033 0.0231478
1 275 8000 354.951 0.0784134
0.707107 275 8000 273.91 0.049249
0.5 275 8000 214.728 0.0635159
0.25 275 8000 145.983 0.0337609
1 275 9000 354.823 0.0781752
0.707107 275 9000 273.837 0.0692062
0.5 275 9000 214.642 0.0630456
0.25 275 9000 145.916 0.0269976
1 300 10000 361.153 0.0961865
0.707107 300 10000 279.846 0.0736377
0.5 300 10000 220.965 0.0493025
0.25 300 10000 153.539 0.0269041
1 300 4000 361.964 0.0944945
0.707107 300 4000 280.497 0.0823132
0.5 300 4000 221.546 0.0512428
0.25 300 4000 153.813 0.0258983
1 300 5000 361.931 0.072569
0.707107 300 5000 280.423 0.0622457
0.5 300 5000 221.426 0.0473997
0.25 300 5000 153.708 0.0316528
1 300 6000 361.769 0.0959427
0.707107 300 6000 280.262 0.0778961
0.5 300 6000 221.309 0.0583446
0.25 300 6000 153.676 0.028377
1 300 7000 361.61 0.086181
0.707107 300 7000 280.131 0.0719057
0.5 300 7000 221.225 0.0397998
