# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.707107 225 1000 262.729 0.0770164
0.5 225 1000 203.22 0.0789665
0.25 225 1000 131.761 0.0475744
1 225 2000 342.243 0.112269
0.707107 225 2000 262.771 0.0805728
0.5 225 2000 203.229 0.0832902
0.25 225 2000 131.748 0.0520572
1 225 3000 342.46 0.142448
0.707107 225 3000 262.866 0.0801835
0.5 225 3000 203.235 0.0823571
0.25 225 3000 131.689 0.0474649
1 225 4000 342.469 0.134568
0.707107 225 4000 262.769 0.08455
0.5 225 4000 203.216 0.0787212
0.25 225 4000 131.676 0.0451823
1 225 5000 342.564 0.12716
0.707107 225 5000 262.843 0.0825423
0.5 225 5000 203.211 0.0813314
0.25 225 5000 131.623 0.044635
1 225 6000 342.685 0.13685
0.707107 225 6000 262.88 0.0851118
0.5 225 6000 203.183 0.0809043
0.25 225 6000 131.608 0.0438425
1 225 7000 342.647 0.145783
0.707107 225 7000 262.853 0.090915
0.5 225 7000 203.161 0.0820534
0.25 225 7000 131.547 0.0362378
1 225 8000 342.736 0.135696
0.707107 225 8000 262.859 0.0842808
0.5 225 8000 203.118 0.0812617
0.25 225 8000 131.533 0.0389187
1 225 9000 342.828 0.133458
0.707107 225 9000 262.872 0.0909897
0.5 225 9000 203.13 0.0752259
0.25 225 9000 131.523 0.0336141
1 250 10000 350.075 0.120662
0.707107 250 10000 268.931 0.0861692
0.5 250 10000 209.168 0.0771012
0.25 250 10000 138.611 0.0324355
1 250 2000 349.602 0.118995
0.707107 250 2000 268.981 0.0873303
0.5 250 2000 209.4 0.0788501
0.25 250 2000 138.926 0.0485448
1 250 3000 349.647 0.132903
0.707107 250 3000 268.985 0.0769714
0.5 250 3000 209.372 0.0802317
0.25 250 3000 138.87 0.0427743
1 250 4000 349.67 0.121415
0.707107 250 4000 268.897 0.0850345
0.5 250 4000 209.317 0.0711129
0.25 250 4000 138.85 0.0393206
1 250 5000 349.738 0.129385
0.707107 250 5000 268.995 0.0931358
