# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 125 10000 293.449 0.122953
0.707107 125 10000 229.479 0.0688987
0.5 125 10000 176.201 0.0603196
0.25 125 10000 104.854 0.0727957
1 125 5000 292.872 0.127138
0.707107 125 5000 229.217 0.0674007
0.5 125 5000 176.144 0.0601017
0.25 125 5000 104.936 0.0738024
1 125 6000 292.983 0.125711
0.707107 125 6000 229.239 0.0760926
0.5 125 6000 176.103 0.0702033
0.25 125 6000 104.899 0.0713034
1 125 7000 293.063 0.122771
0.707107 125 7000 229.282 0.0703217
0.5 125 7000 176.094 0.0698286
0.25 125 7000 104.873 0.0722578
1 125 8000 293.254 0.119516
0.707107 125 8000 229.385 0.0718511
0.5 125 8000 176.186 0.0609091
0.25 125 8000 104.891 0.0730919
1 125 9000 293.315 0.134099
0.707107 125 9000 229.36 0.0666361
0.5 125 9000 176.135 0.0611845
0.25 125 9000 104.858 0.0739418
1 150 10000 308.347 0.148934
0.707107 150 10000 238.825 0.0965057
0.5 150 10000 182.978 0.0682783
0.25 150 10000 111.103 0.0363487
1 150 4000 307.801 0.132662
0.707107 150 4000 238.599 0.0919103
0.5 150 4000 182.965 0.0644808
0.25 150 4000 111.187 0.0347135
1 150 5000 308 0.145154
0.707107 150 5000 238.658 0.0921575
0.5 150 5000 182.997 0.0675415
0.25 150 5000 111.182 0.0344131
1 150 6000 308.102 0.14847
0.707107 150 6000 238.709 0.102475
0.5 150 6000 183.007 0.0664966
0.25 150 6000 111.179 0.0305735
1 150 7000 308.23 0.141203
0.707107 150 7000 238.799 0.100644
0.5 150 7000 183.068 0.0678303
0.25 150 7000 111.21 0.0343993
1 150 8000 308.174 0.140848
0.707107 150 8000 238.756 0.0959679
0.5 150 8000 182.981 0.0661746
0.25 150 8000 111.136 0.0553786
1 150 9000 308.306 0.141625
0.707107 150 9000 238.81 0.105117
0.5 150 9000 183.036 0.0684265
0.25 150 9000 111.123 0.0471058
1 175 10000 320.069 0.10634
0.707107 175 10000 246.67 0.0830433
0.5 175 10000 189.305 0.0665155
0.25 175 10000 117.499 0.0678692
1 175 7000 319.934 0.104784
0.707107 175 7000 246.626 0.0806748
0.5 175 7000 189.334 0.0609137
1 175 8000 320.024 0.111453
0.707107 175 8000 246.651 0.101572
0.5 175 8000 189.361 0.0617533
0.25 175 8000 117.533 0.0615253
1 175 9000 320.132 0.108136
0.707107 175 9000 246.692 0.0931803
0.5 175 9000 189.363 0.0648957
0.25 175 9000 117.515 0.0656145
1 200 10000 329.909 0.0918892
0.707107 200 10000 253.659 0.0841751
0.5 200 10000 195.424 0.0675723
0.25 200 10000 124.238 0.0686549
1 200 6000 329.888 0.0950351
0.707107 200 6000 253.789 0.0863096
0.5 200 6000 195.592 0.0660276
0.25 200 6000 124.415 0.0538159
1 200 7000 329.794 0.0991288
0.707107 200 7000 253.652 0.0864776
0.5 200 7000 195.471 0.0749141
0.25 200 7000 124.321 0.056717
1 200 8000 329.96 0.101582
0.707107 200 8000 253.78 0.0935289
0.5 200 8000 195.557 0.0707873
0.25 200 8000 124.344 0.0643807
1 200 9000 329.857 0.095289
0.707107 200 9000 253.676 0.0879029
0.5 200 9000 195.452 0.0705451
0.25 200 9000 124.275 0.0626245
1 225 10000 338.443 0.077751
0.707107 225 10000 260.275 0.0930708
0.5 225 10000 201.577 0.0654636
0.25 225 10000 131.33 0.0822161
1 225 5000 338.527 0.0709051
0.707107 225 5000 260.479 0.0936864
0.5 225 5000 201.829 0.0577704
0.25 225 5000 131.522 0.0821096
