# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.707107 225 1000 261.266 0.0912763
0.5 225 1000 202.332 0.0965715
0.25 225 1000 131.576 0.0585558
1 225 2000 339.907 0.226667
0.707107 225 2000 261.21 0.070624
0.5 225 2000 202.246 0.0921515
0.25 225 2000 131.493 0.0628302
1 225 3000 339.869 0.147336
0.707107 225 3000 261.062 0.0710592
0.5 225 3000 202.102 0.0981956
0.25 225 3000 131.419 0.0566306
1 225 4000 340.067 0.143634
0.707107 225 4000 261.152 0.0773114
0.5 225 4000 202.121 0.097126
0.25 225 4000 131.43 0.0536376
1 225 5000 339.978 0.13419
0.707107 225 5000 261.029 0.0775377
0.5 225 5000 201.998 0.0992687
0.25 225 5000 131.35 0.0556721
1 225 6000 339.932 0.146418
0.707107 225 6000 261.034 0.09835
0.5 225 6000 201.962 0.100286
0.25 225 6000 131.3 0.0614571
1 225 7000 340.113 0.138599
0.707107 225 7000 261.081 0.0824592
0.5 225 7000 201.943 0.0995609
0.25 225 7000 131.262 0.0576817
1 225 8000 339.957 0.13129
0.707107 225 8000 260.869 0.0785652
0.5 225 8000 201.791 0.097136
0.25 225 8000 131.191 0.0519103
1 225 9000 340.019 0.134737
0.707107 225 9000 260.868 0.0851268
0.5 225 9000 201.74 0.100017
0.25 225 9000 131.149 0.0513121
1 250 0 347.543 0.165789
0.707107 250 0 267.596 0.0904614
0.5 250 0 208.669 0.0787361
0.25 250 0 138.86 0.0571286
1 250 10000 347.09 0.152121
0.707107 250 10000 266.848 0.0746305
0.5 250 10000 207.791 0.0840903
0.25 250 10000 138.29 0.0607107
1 250 1000 347.488 0.167483
0.707107 250 1000 267.548 0.0829461
0.5 250 1000 208.595 0.0783344
0.25 250 1000 138.822 0.0596646
1 250 2000 347.449 0.157066
0.707107 250 2000 267.512 0.0852021
0.5 250 2000 208.482 0.0865254
0.25 250 2000 138.771 0.0594136
1 250 3000 347.465 0.160848
0.707107 250 3000 267.473 0.0881043
0.5 250 3000 208.433 0.0756916
0.25 250 3000 138.683 0.0547156
1 250 4000 347.415 0.149417
0.707107 250 4000 267.358 0.0744833
0.5 250 4000 208.375 0.0900475
0.25 250 4000 138.65 0.0571537
1 250 5000 347.336 0.144803
0.707107 250 5000 267.292 0.0792711
0.5 250 5000 208.241 0.0797652
0.25 250 5000 138.588 0.0584698
1 250 6000 347.311 0.16162
0.707107 250 6000 267.255 0.0776606
0.5 250 6000 208.212 0.0847896
0.25 250 6000 138.523 0.0560283
1 250 7000 347.288 0.146244
0.707107 250 7000 267.149 0.0743414
